Cloudian - Eye of the Typhoon,
Flying Fortress SKY FIRE,
Burning Skull Head,
Final Psychic Ogre,
Success Probability 0%,
Soul Hunter,Foil
Swamp Battleguard,
Sword Hunter,
Zombyra the Dark,
Spirit Ryu,
Cranium Fish,
Salvage Warrior,
Steel Ogre Grotto #2,
Burning Land,
Token Thanksgiving,
Dust Barrier,
Fulfuillment of the Contract,
Hero Flash!!,
Shift,
Human-Wave Tactics,Foil
Number 14: Greedy Sarameya,
Nopenguin,
Sharkraken,
Cockadoodledoo,Foil
Megalith Phaleg,
Princess of Tsurugi,
Mermaid Archer,
Dark Spider,
Rage of the Deep Sea,
Performapal Elephammer,
Shiranui Smith,
Kuro-Obi Karate Spirit,
Grappler,
Wings of Wicked Flame,
Ancient Brain,Foil
Gadget Soldier,
Pitch-Black Power Stone,
Weed Out,
Hero Counterattack,
Spell Reclamation,
The Fang of Critias,
Gemini Imps,
Shield Worm,Foil
Abyss Warrior,
Elementsaber Lapauila,
Damage Diet,
Pendulum Hole,
Kiseitai,
3-Hump Lacooda,
Familiar Knight,
Blazing Hiita,
Chrysalis Larva,
Yamatano Dragon Scroll,
Man Eater,
Kurama,
Launcher Spider,
Telekinetic Power Well,
Breaking of the World,
Grave Lure,
Jar of Generosity,
Sinister Serpent,
Gate Guardian,
Cloudian - Nimbusman,Foil
Centerfrog,
D/D Proud Ogre,
My Body as a Shield,
Detonate,
Winged Minion,
Chrysalis Pinny,
Handcuffs Dragon,Foil
Piercing Moray,
Eagle Shark,
Cluster Congester,
Flame Manipulator,
Jade Insect Whistle,Foil
Spirit Burner,
Metal Detector,
Royal Writ of Taxation,
Shield Spear,
Defensive Tactics,
"Burner, Dragon Ruler of Sparks",
Emperor Maju Garzette,
Magic Hole Golem,
"World Legacy - ""World Armor""",
Noblke Knight Pellinore,
Performage Mirror Conductor,
Man-eating Black Shark,
Elemental HERO Inferno,
Berfomet,
Chrysalis Pantail,
Super Defense Robot Monki,
Artifact Failnaught,
Assault Blackwing - Kunai the Drizzle,
Performapal Radish Horse,
Claw Reacher,
Madjinn Gunn,
Acrobat Monkey,
Noble Knight Artorigus,
Suppression Collider,
Centrifugal Field,
Legion the Fiend Jester,Foil
Blast Asmodian,
Damage Eater,
"World Legacy - ""World Armor""",
Mask of Dispel,
Des Dendle,
Rocket Jumper,
Absorbing Kid from the Sky,
Hunter Owl,
Perditious Puppeteer,
Rodenut,
Dotedotengu,
Artifact Failnaught,Foil
Arlownay,
Queen Bird,Foil
Contact,
Creature Seizure,
Frightfur Reborn,Foil
Destiny Mirage,
Contract Laundering,
Mask of Brutality,
Secret Barrel,
Cobra Jar,
Shadowslayer,
Hunter Owl,
Jawsman,Foil
Crashbug X,
Saambell the Summoner,
Noble Knight Eachtar,
Great White,
Tiger Axe,
Mystical Capture Chain,
Necrolander The Time-lord,
Stuffed Animal,Foil
Giant Red Seasnake,
Rock Spirit,
Fake Hero,
Wonder Clover,
Gemini Trap Hole,
Miracle Locus,
Single Purchase,
Dark Spcorpion - Meanae the Thorn,
Goblin Recon Squad,
Caligo Claw Crow,Foil
Baby Raccoon Ponpoko,
Wetlands,
Punished Eagle,
Dreamsprite,
Bowganian,
Performapal Skeeter Skimmer,
D/D Berfomet,
Garbage Collector,
Texchanger,
Gorgon Egg,Foil
V-Tiger Jet,
Fusion Weapon,
Ritual Weapon,Foil
Token Sundae,
Trap Reclamation,
Battle Teleportation,
"Number 23: Lancelot, Dark Knight of the Underworld",
Transmigration Break,
Skilled Dark Magician,
Goblin Thief,
Sabatiel - The Philosopher's Stone,
Linkerbell,
Maiden of the Aqua,
Getsu Fuhma,
Combo Fighter,
Combo Master,
Darklon,
Mecha Phantom Beast Harrliard,
Satellarknight Rigel,
Bio Plant,
Shovel Crusher,Foil
Rain of Mercy,
The Dark Door,
The Second Sarcophagus,
Miniaturize,
Graydle Split,
Big Belly Knight,
Cyber Tutubon,Foil
Stardust Shimmer,
Swords of Burning Light,
Mimiclay,Foil
Token Feastevil,
Pinpoint Guard,
Renewal of the World,
The Creator Incarnate,
Machina Soldier,
Disciple of the Forbidden Spell,
Ground Spider,
Spawn Aligator,
Changer Synchron,
Performapal Skeeter Skimmer,
Performapal Lebellman,
Oppressed People,
Graceful Dice,
Combination Attack,
Fusion Weapon,
Gale Dogra,
Cracking Dragon,
Bownty,Foil
Gearfried the Iron Knight,
Xyz Override,
World Legacy Bestowal,Foil
Elemental HERO Necroid Shaman,
Winged Minion,
Blood Sucker,
Chrysalis Dolphin,
Gemini Lancer,
Destiny HERO - Dunker,
Shield Warrior,
Genex Gaia,
Ignkight Squire,
Rock Ogre Grotto #1,
Simultaneous Loss,
Offering to the Immortals,
Darkfall,
Ghosts From the Past,
Archfiend's Ascent,
Ultimate Insect LV3,
Ancient Dragon,
Warrior Elimination,
Level Limit - Area B,Foil
Prideful Roar,
Leghul,
Royal Keeper,
Elemental HERO Knospe,
Man Beast of Ares,Foil
Worm Dimikles,
Sea Lancer,
Fire Kraken,
Contract with the Dark Master,
The Big March of Animals,Foil
Spell Calling,Foil
Domino Effect,
Mind Haxorz,
Zero Force,
Three of a Kind,
Mystical Refpanel,
Gemini Elf,Foil
Twin-Headed Behemoth,
Helping Robot for Combat,
Gearfried the Swordmaster,
Performapal Kaleidoscorp,
Wattaildragon,
Acid Rain,
Dream Clown,
Maryokutai,
Bone Crusher,
Photon Slasher,
Labyrinth Wall,
Kanikabuto,
Bolt Penguin,
Snakeyashi,
Hyosube,Foil
Lighten the Load,
Card Rotator,
Elemental Burst,
Fire Princess,
Hushed Psychic Cleric,
Castle Link,
Defense Draw,
Side Effects?,Foil
Blast Juggler,
Mushroom Man #2,
Vampire Lady,
Gravi-Crush Dragon,
Big Insect,
Terra the Terrible,
Two-Mouth Darkruler,
Pot the Trick,
The Portrait's Secret,
Rising Air Current,
Trial of the Princesses,
Linear Accelerator Cannon,
Aquarium Set,
Disarmament,
Elemental Absorber,
Thunder Sea Horse,
Hope for Escape,
Number 52: Diamond Crab King,
The Fiend Megacyber,
Galaxy Serpent,
After the Storm,
Blasting Fuse,
Pixie Ring,
Two Thousand Needles,Foil
Cyber Esper,
Magnetic Mosquito,
Gladiator Beast Lanista,
Performapal Lizardraw,
Metalfoes Silverd,
Dark Shade,
